abbr,city,cityEn,conference,country,displayAbbr,displayAffiliation,displayConference,displayName,displayNameEn,division,dob,draftYear,experience,firstInitial,firstName,firstNameEn,height,id,isAllStarTeam,isLeagueTeam,jerseyNo,lastName,lastNameEn,name,nameEn,playerId,player_code,player_leagueId,position,schoolType,team_code,team_leagueId,weight
OKC,俄克拉荷马城,Oklahoma City,Western,西班牙,雷霆,Spain,西部,亚历克斯 阿布里内斯,Alex Abrines,西北分区,744177600000,2013,1,亚历克斯,亚历克斯,Alex,1米98,1610612760,False,True,8,阿布里内斯,Abrines,雷霆,Thunder,203518,alex_abrines,00,后卫,None,thunder,00,"86,2 公斤"
BKN,布鲁克林,Brooklyn,Eastern,美国,篮网,Baylor/United States,东部,昆西 埃希 ,Quincy Acy,大西洋分区,655185600000,2012,5,昆西,昆西,Quincy,2米01,1610612751,False,True,13,埃希 ,Acy,篮网,Nets,203112,quincy_acy,00,前锋,College,nets,00,"108,9 公斤"
OKC,俄克拉荷马城,Oklahoma City,Western,新西兰,雷霆,Pittsburgh/New Zealand,西部,斯蒂文 亚当斯,Steven Adams,西北分区,743140800000,2013,4,斯蒂文,斯蒂文,Steven,2米13,1610612760,False,True,12,亚当斯,Adams,雷霆,Thunder,203500,steven_adams,00,中锋,College,thunder,00,"115,7 公斤"
MIA,迈阿密,Miami,Eastern,美国,热火,Kentucky/United States,东部,巴姆 阿德巴约,Bam Adebayo,东南分区,869198400000,2017,0,巴姆,巴姆,Bam,2米08,1610612748,False,True,13,阿德巴约,Adebayo,热火,Heat,1628389,bam_adebayo,00,中锋-前锋,College,heat,00,"115,7 公斤"
ORL,奥兰多,Orlando,Eastern,美国,魔术,UCLA/United States,东部,阿隆 阿夫拉罗,Arron Afflalo,东南分区,498196800000,2007,10,阿隆,阿隆,Arron,1米96,1610612753,False,True,4,阿夫拉罗,Afflalo,魔术,Magic,201167,arron_afflalo,00,后卫,College,magic,00,"95,3 公斤"
NOP,新奥尔良,New Orleans,Western,法国,鹈鹕,"Saint Etienne, France/France",西部,亚历克西斯 阿金萨,Alexis Ajinca,西南分区,578894400000,2008,7,亚历克西斯,亚历克西斯,Alexis,2米18,1610612740,False,True,42,阿金萨,Ajinca,鹈鹕,Pelicans,201582,alexis_ajinca,00,中锋,Country,pelicans,00,"112,5 公斤"
MIN,明尼苏达,Minnesota,Western,美国,森林狼,Kansas/United States,西部,科尔 阿尔德里奇,Cole Aldrich,西北分区,594277200000,2010,7,科尔,科尔,Cole,2米11,1610612750,False,True,45,阿尔德里奇,Aldrich,森林狼,Timberwolves,202332,cole_aldrich,00,中锋,College,timberwolves,00,"114,8 公斤"
SAS,圣安东尼奥,San Antonio,Western,美国,马刺,Texas/United States,西部,拉马库斯 阿尔德里奇,LaMarcus Aldridge,西南分区,490593600000,2006,11,拉马库斯,拉马库斯,LaMarcus,2米11,1610612759,False,True,12,阿尔德里奇,Aldridge,马刺,Spurs,200746,lamarcus_aldridge,00,前锋,College,spurs,00,"117,9 公斤"
BKN,布鲁克林,Brooklyn,Eastern,美国,篮网,Texas/United States,东部,贾瑞特 艾伦,Jarrett Allen,大西洋分区,893131200000,2017,0,贾瑞特,贾瑞特,Jarrett,2米11,1610612751,False,True,31,艾伦,Allen,篮网,Nets,1628386,jarrett_allen,00,中锋,College,nets,00,"106,1 公斤"
BOS,波士顿,Boston,Eastern,美国,凯尔特人,Arizona/United States,东部,卡迪姆 艾伦,Kadeem Allen,大西洋分区,727074000000,2017,0,卡迪姆,卡迪姆,Kadeem,1米91,1610612738,False,True,45,艾伦,Allen,凯尔特人,Celtics,1628443,kadeem_allen,00,后卫,College,celtics,00,"90,7 公斤"
NOP,新奥尔良,New Orleans,Western,美国,鹈鹕,Oklahoma State/United States,西部,托尼 艾伦,Tony Allen,西南分区,379573200000,2004,13,托尼,托尼,Tony,1米93,1610612740,False,True,24,艾伦,Allen,鹈鹕,Pelicans,2754,tony_allen,00,后卫-前锋,College,pelicans,00,"96,6 公斤"
POR,波特兰,Portland,Western,美国,开拓者,Wake Forest/United States,西部,艾尔-法鲁克 阿米奴,Al-Farouq Aminu,西北分区,653889600000,2010,7,艾尔-法鲁克,艾尔-法鲁克,Al-Farouq,2米06,1610612757,False,True,8,阿米奴,Aminu,开拓者,Trail Blazers,202329,al-farouq_aminu,00,前锋,College,blazers,00,"99,8 公斤"
PHI,费城,Philadelphia,Eastern,美国,76人,Virginia/United States,东部,贾斯汀 安德森,Justin Anderson,大西洋分区,753685200000,2015,2,贾斯汀,贾斯汀,Justin,1米98,1610612755,False,True,1,安德森,Anderson,76人,Sixers,1626147,justin_anderson,00,后卫-前锋,College,sixers,00,"104,3 公斤"
SAS,圣安东尼奥,San Antonio,Western,美国,马刺,UCLA/United States,西部,凯尔 安德森,Kyle Anderson,西南分区,748497600000,2014,3,凯尔,凯尔,Kyle,2米06,1610612759,False,True,1,安德森,Anderson,马刺,Spurs,203937,kyle_anderson,00,后卫-前锋,College,spurs,00,"104,3 公斤"
HOU,休斯顿,Houston,Western,美国,火箭,California/United States,西部,莱恩 安德森,Ryan Anderson,西南分区,578894400000,2008,9,莱恩,莱恩,Ryan,2米08,1610612745,False,True,33,安德森,Anderson,火箭,Rockets,201583,ryan_anderson,00,前锋,College,rockets,00,"108,9 公斤"
IND,印第安纳,Indiana,Eastern,美国,步行者,California-Los Angeles/United States,东部,埃克 安尼博古,Ike Anigbogu,中央分区,908510400000,2017,0,埃克,埃克,Ike,2米08,1610612754,False,True,13,安尼博古,Anigbogu,步行者,Pacers,1628387,ike_anigbogu,00,中锋,College,pacers,00,"118,8 公斤"
MIL,密尔沃基,Milwaukee,Eastern,希腊,雄鹿,Greece/Greece,东部,扬尼斯 安特托昆博,Giannis Antetokounmpo,中央分区,786690000000,2013,4,扬尼斯,扬尼斯,Giannis,2米11,1610612749,False,True,34,安特托昆博,Antetokounmpo,雄鹿,Bucks,203507,giannis_antetokounmpo,00,前锋,Country,bucks,00,"100,7 公斤"
OKC,俄克拉荷马城,Oklahoma City,Western,美国,雷霆,Syracuse/United States,西部,卡梅隆 安东尼,Carmelo Anthony,西北分区,454651200000,2003,14,卡梅隆,卡梅隆,Carmelo,2米03,1610612760,False,True,7,安东尼,Anthony,雷霆,Thunder,2546,carmelo_anthony,00,前锋,College,thunder,00,"108,9 公斤"
TOR,多伦多,Toronto,Eastern,英国,猛龙,Indiana/United Kingdom,东部,OG 安纳诺比,OG Anunoby,大西洋分区,869112000000,2017,0,OG,OG,OG,2米03,1610612761,False,True,3,安纳诺比,Anunoby,猛龙,Raptors,1628384,og_anunoby,00,前锋,College,raptors,00,"106,6 公斤"
CHI,芝加哥,Chicago,Eastern,美国,公牛,Villanova/United States,东部,莱恩 阿什迪亚克诺,Ryan Arcidiacono,中央分区,764658000000,2016,0,莱恩,莱恩,Ryan,1米91,1610612741,False,True,15,阿什迪亚克诺,Arcidiacono,公牛,Bulls,1627853,ryan_arcidiacono,00,后卫,College,bulls,00,"88,5 公斤"
HOU,休斯顿,Houston,Western,美国,火箭,UCLA/United States,西部,特雷沃 阿里扎,Trevor Ariza,西南分区,488952000000,2004,13,特雷沃,特雷沃,Trevor,2米03,1610612745,False,True,1,阿里扎,Ariza,火箭,Rockets,2772,trevor_ariza,00,前锋,College,rockets,00,"97,5 公斤"
DEN,丹佛,Denver,Western,美国,掘金,Kansas/United States,西部,达雷尔 亚瑟,Darrell Arthur,西北分区,575269200000,2008,8,达雷尔,达雷尔,Darrell,2米06,1610612743,False,True,00,亚瑟,Arthur,掘金,Nuggets,201589,darrell_arthur,00,前锋,College,nuggets,00,"106,6 公斤"
